old_source_filename,new_source_filename,old_markdown_link,new_markdown_link,status
"12-01-Petra Overview Deck.jpg","12-01-Petra Overview Deck.jpg","12-01-Petra Overview Deck.jpg","Images/2024 03 Middle East/12/12-01-Petra Overview Deck.jpg","SOURCE_NAME_OK;UPDATED_MARKDOWN_LINK"
"A7402518.jpg","12-02 Petra Entry Overview.jpg","12-02 Petra Entry Overview.jpg","Images/2024 03 Middle East/12/12-02 Petra Entry Overview.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402539.jpg","12-03-Road to Wadi Rum.jpg","12-03-Road to Wadi Rum.jpg","Images/2024 03 Middle East/12/12-03-Road to Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402543.jpg","12-04-Road to Wadi Rum.jpg","12-04-Road to Wadi Rum.jpg","Images/2024 03 Middle East/12/12-04-Road to Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402567.jpg","12-05-Road to Wadi Rum.jpg","12-05-Road to Wadi Rum.jpg","Images/2024 03 Middle East/12/12-05-Road to Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402603.jpg","12-06-Road to Wadi Rum.jpg","12-06-Road to Wadi Rum.jpg","Images/2024 03 Middle East/12/12-06-Road to Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402616.jpg","12-07-Road to Wadi Rum.jpg","12-07-Road to Wadi Rum.jpg","Images/2024 03 Middle East/12/12-07-Road to Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402774.jpg","12-08-Wadi Rum.jpg","12-08-Wadi Rum.jpg","Images/2024 03 Middle East/12/12-08-Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402663.jpg","12-09-Train Station in Wadi Rum.jpg","12-09-Train Station in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-09-Train Station in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402723.jpg","12-10-Train Station in Wadi Rum.jpg","12-10-Train Station in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-10-Train Station in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402707.jpg","12-11-Train Station in Wadi Rum.jpg","12-11-Train Station in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-11-Train Station in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402814.jpg","12-12-Wadi Rum.jpg","12-12-Wadi Rum.jpg","Images/2024 03 Middle East/12/12-12-Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402850.jpg","12-13-Wadi Rum.jpg","12-13-Wadi Rum.jpg","Images/2024 03 Middle East/12/12-13-Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402867.jpg","12-14-Sun City Camp.jpg","12-14-Sun City Camp.jpg","Images/2024 03 Middle East/12/12-14-Sun City Camp.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7402833.jpg","12-15-Sun City Camp.jpg","12-15-Sun City Camp.jpg","Images/2024 03 Middle East/12/12-15-Sun City Camp.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
